UF;Código;Território;1 - Crianças e adolescentes das famílias do PBF com frequência escolar informada-01/2019;2 - Total de crianças e adolescentes das famílias do PBF no município-01/2019;3 - TAFE - Taxa de Acompanhameto de Frequência Escolar ( item 1 / item 2 )-01/2019;4 - Famílias do PBF com condicionalidades de saúde informada-01/2019;5 - Total de famílias com perfil saúde no município-01/2019;6 - TAAS - Taxa de Acompanhamento de Agenda de Saúde ( item 4 / item 5 )-01/2019;7 - Atualizações de cadastros  - Perfil CadÚnico até 1/2 salário mínimo-01/2019;8 - Cadastros  de Famílias com Perfil CadÚnico até 1/2 salário mínimo-01/2019;9 - TAC - Taxa de Atualização Cadastral ( item 7 / item 8 )-01/2019;10 - Fator 1: Operação (  (TAFE+TAAS) / 2 +  TAC / 2)-01/2019;11 - Fator 2: Adesão ao SUAS-01/2019;12 - Fator 3: Comprovação de Gastos pelo FMAS-01/2019;13 - Fator 4: Aprovação da Comprovação de Gastos pelo CMAS-01/2019;14 - IGD-M ( Fator 1 x Fator 2 x Fator 3 x Fator 4 )-01/2019;15 - Estimativa total de famílias de baixa renda no município - perfil CadÚnico-01/2019;16 - Quantidade de famílias consideradas para cálculo do repasse-01/2019;17 - Valor Calculado sem Incentivos ( item 14 x R$ 3,25 x item 16 )-01/2019;18 - Incetivo 1 - Proporção de famílias em fase de suspenção em  acompanhamento Familiar-01/2019;19 - Incetivo 2 - Dados da gestão municipal no SIGPBF atualizados há menos de 1 ano-01/2019;20 - Valor Total de Incentivos ( item18 + item 19 )-01/2019;21 - Valor Calculado com Incetivos ( Item 17 + Item 20 )-01/2019;22 - Teto de repasse do IGD-M-01/2019;23 - Valor repassado no mês-01/2019;24 - Motivo(s) que impede(m) o repasse-01/2019;1 - Crianças e adolescentes das famílias do PBF com frequência escolar informada-01/2018;2 - Total de crianças e adolescentes das famílias do PBF no município-01/2018;3 - TAFE - Taxa de Acompanhameto de Frequência Escolar ( item 1 / item 2 )-01/2018;4 - Famílias do PBF com condicionalidades de saúde informada-01/2018;5 - Total de famílias com perfil saúde no município-01/2018;6 - TAAS - Taxa de Acompanhamento de Agenda de Saúde ( item 4 / item 5 )-01/2018;7 - Atualizações de cadastros  - Perfil CadÚnico até 1/2 salário mínimo-01/2018;8 - Cadastros  de Famílias com Perfil CadÚnico até 1/2 salário mínimo-01/2018;9 - TAC - Taxa de Atualização Cadastral ( item 7 / item 8 )-01/2018;10 - Fator 1: Operação (  (TAFE+TAAS) / 2 +  TAC / 2)-01/2018;11 - Fator 2: Adesão ao SUAS-01/2018;12 - Fator 3: Comprovação de Gastos pelo FMAS-01/2018;13 - Fator 4: Aprovação da Comprovação de Gastos pelo CMAS-01/2018;14 - IGD-M ( Fator 1 x Fator 2 x Fator 3 x Fator 4 )-01/2018;15 - Estimativa total de famílias de baixa renda no município - perfil CadÚnico-01/2018;16 - Quantidade de famílias consideradas para cálculo do repasse-01/2018;17 - Valor Calculado sem Incentivos ( item 14 x R$ 3,25 x item 16 )-01/2018;18 - Incetivo 1 - Proporção de famílias em fase de suspenção em  acompanhamento Familiar-01/2018;19 - Incetivo 2 - Dados da gestão municipal no SIGPBF atualizados há menos de 1 ano-01/2018;20 - Valor Total de Incentivos ( item18 + item 19 )-01/2018;21 - Valor Calculado com Incetivos ( Item 17 + Item 20 )-01/2018;22 - Teto de repasse do IGD-M-01/2018;23 - Valor repassado no mês-01/2018;24 - Motivo(s) que impede(m) o repasse-01/2018;1 - Crianças e adolescentes das famílias do PBF com frequência escolar informada-01/2017;2 - Total de crianças e adolescentes das famílias do PBF no município-01/2017;3 - TAFE - Taxa de Acompanhameto de Frequência Escolar ( item 1 / item 2 )-01/2017;4 - Famílias do PBF com condicionalidades de saúde informada-01/2017;5 - Total de famílias com perfil saúde no município-01/2017;6 - TAAS - Taxa de Acompanhamento de Agenda de Saúde ( item 4 / item 5 )-01/2017;7 - Atualizações de cadastros  - Perfil CadÚnico até 1/2 salário mínimo-01/2017;8 - Cadastros  de Famílias com Perfil CadÚnico até 1/2 salário mínimo-01/2017;9 - TAC - Taxa de Atualização Cadastral ( item 7 / item 8 )-01/2017;10 - Fator 1: Operação (  (TAFE+TAAS) / 2 +  TAC / 2)-01/2017;11 - Fator 2: Adesão ao SUAS-01/2017;12 - Fator 3: Comprovação de Gastos pelo FMAS-01/2017;13 - Fator 4: Aprovação da Comprovação de Gastos pelo CMAS-01/2017;14 - IGD-M ( Fator 1 x Fator 2 x Fator 3 x Fator 4 )-01/2017;15 - Estimativa total de famílias de baixa renda no município - perfil CadÚnico-01/2017;16 - Quantidade de famílias consideradas para cálculo do repasse-01/2017;17 - Valor Calculado sem Incentivos ( item 14 x R$ 3,25 x item 16 )-01/2017;18 - Incetivo 1 - Proporção de famílias em fase de suspenção em  acompanhamento Familiar-01/2017;19 - Incetivo 2 - Dados da gestão municipal no SIGPBF atualizados há menos de 1 ano-01/2017;20 - Valor Total de Incentivos ( item18 + item 19 )-01/2017;21 - Valor Calculado com Incetivos ( Item 17 + Item 20 )-01/2017;22 - Teto de repasse do IGD-M-01/2017;23 - Valor repassado no mês-01/2017;24 - Motivo(s) que impede(m) o repasse-01/2017;1 - Crianças e adolescentes das famílias do PBF com frequência escolar informada-01/2016;2 - Total de crianças e adolescentes das famílias do PBF no município-01/2016;3 - TAFE - Taxa de Acompanhameto de Frequência Escolar ( item 1 / item 2 )-01/2016;4 - Famílias do PBF com condicionalidades de saúde informada-01/2016;5 - Total de famílias com perfil saúde no município-01/2016;6 - TAAS - Taxa de Acompanhamento de Agenda de Saúde ( item 4 / item 5 )-01/2016;7 - Atualizações de cadastros  - Perfil CadÚnico até 1/2 salário mínimo-01/2016;8 - Cadastros  de Famílias com Perfil CadÚnico até 1/2 salário mínimo-01/2016;9 - TAC - Taxa de Atualização Cadastral ( item 7 / item 8 )-01/2016;10 - Fator 1: Operação (  (TAFE+TAAS) / 2 +  TAC / 2)-01/2016;11 - Fator 2: Adesão ao SUAS-01/2016;12 - Fator 3: Comprovação de Gastos pelo FMAS-01/2016;13 - Fator 4: Aprovação da Comprovação de Gastos pelo CMAS-01/2016;14 - IGD-M ( Fator 1 x Fator 2 x Fator 3 x Fator 4 )-01/2016;15 - Estimativa total de famílias de baixa renda no município - perfil CadÚnico-01/2016;16 - Quantidade de famílias consideradas para cálculo do repasse-01/2016;17 - Valor Calculado sem Incentivos ( item 14 x R$ 3,25 x item 16 )-01/2016;18 - Incetivo 1 - Proporção de famílias em fase de suspenção em  acompanhamento Familiar-01/2016;19 - Incetivo 2 - Dados da gestão municipal no SIGPBF atualizados há menos de 1 ano-01/2016;20 - Valor Total de Incentivos ( item18 + item 19 )-01/2016;21 - Valor Calculado com Incetivos ( Item 17 + Item 20 )-01/2016;22 - Teto de repasse do IGD-M-01/2016;23 - Valor repassado no mês-01/2016;24 - Motivo(s) que impede(m) o repasse-01/2016
GO;520005;ABADIA DE GOIÁS;1099;1180;0.93;745;798;0.93;1494;1611;0.92;0.93;1;1;1;0.93;650;650;1964.63;28.06;98.23;126.29;2090.92;2323.75;2090.92;;956;1041;0.91;363;620;0.58;1269;1544;0.82;0.78;1;1;1;0.78;650;650;1662.33;0;83.12;83.12;1745.45;2323.75;1745.45;;696;776;0.89;341;434;0.78;919;1309;0.7;0.77;1;1;1;0.77;650;650;1630.22;0;0;0;1630.22;2323.75;1630.22;;645;820;0.78;336;441;0.76;901;1243;0.72;0.74;1;1;1;0.74;650;650;1583.53;0;79.18;79.18;1662.71;2323.75;1662.71;
MG;310010;ABADIA DOS DOURADOS;263;272;0.96;252;287;0.87;456;567;0.8;0.86;1;1;1;0.86;771;456;1279.41;0;63.97;63.97;1343.38;2756.33;1430;;299;320;0.93;245;298;0.82;449;627;0.71;0.79;1;1;1;0.79;771;449;1163.31;0;58.17;58.17;1221.48;2756.33;1430;;373;380;0.98;179;282;0.63;465;626;0.74;0.77;1;1;1;0.77;771;465;1171.97;0;58.6;58.6;1230.57;2756.33;1430;;374;468;0.79;109;315;0.34;471;768;0.61;0.59;1;1;1;0.59;771;471;907.58;0;45.38;45.38;952.96;2756.33;1430;
GO;520010;ABADIÂNIA;710;798;0.88;429;615;0.69;1396;1512;0.92;0.85;1;1;1;0.85;1667;1396;3895.01;0;194.75;194.75;4089.76;5959.53;4089.76;;827;930;0.88;360;607;0.59;1407;1531;0.91;0.83;1;1;1;0.83;1667;1407;3795.84;42.17;189.79;231.96;4027.8;5959.53;4027.8;;838;994;0.84;372;546;0.68;1116;1330;0.83;0.8;1;1;1;0.8;1667;1116;2904.14;48.4;145.21;193.61;3097.75;5959.53;3097.75;;783;956;0.81;350;525;0.66;891;1366;0.65;0.69;1;1;1;0.69;1667;891;2020.08;0;0;0;2020.08;5959.53;2020.08;
MG;310020;ABAETÉ;671;715;0.93;529;601;0.88;1384;1666;0.83;0.87;1;0;0;0;2381;1384;0;0;0;0;0;8512.08;0;ComprovaÃ§Ã£o de Gastos pelo FMAS 2017;722;783;0.92;570;648;0.87;1243;1824;0.68;0.79;1;0;0;0;2381;1243;0;0;0;0;0;8512.08;0;Comprovação de Gastos pelo FMAS 2015;914;1018;0.89;764;871;0.87;1371;2041;0.67;0.77;1;0;0;0;2381;1371;0;0;0;0;0;8512.08;0;Comprovação de Gastos pelo FMAS 2015;1115;1242;0.89;878;1005;0.87;1456;2528;0.57;0.73;1;1;0;0;2381;1456;0;0;0;0;0;8512.08;0;AprovaÃ§Ã£o da ComprovaÃ§Ã£o de Gastos pelo CMAS 2013
PA;150010;ABAETETUBA;27251;27440;0.99;17941;25783;0.69;34735;39343;0.88;0.86;1;1;1;0.86;21210;21210;59537;1488.43;2976.85;4465.28;64002.28;75825.75;64002.28;;27455;27680;0.99;15105;23031;0.65;31340;36860;0.85;0.83;1;1;1;0.83;21210;21210;57703.4;961.63;2885.17;3846.8;61550.2;75825.75;61550.2;;26698;26760;0.99;13157;18353;0.71;26471;33719;0.78;0.82;1;1;1;0.82;21210;21210;56607.37;2830.37;0;2830.37;59437.74;75825.75;59437.74;;26363;26381;0.99;15708;19350;0.81;24047;32254;0.74;0.82;1;1;0;0;21210;21210;0;0;0;0;0;75825.75;0;AprovaÃ§Ã£o da ComprovaÃ§Ã£o de Gastos pelo CMAS 2013
CE;230010;ABAIARA;1184;1263;0.93;1423;1651;0.86;2338;2509;0.93;0.91;1;1;1;0.91;2029;2029;6039.01;0;301.95;301.95;6340.96;7253.68;6340.96;;1166;1328;0.87;1508;1702;0.88;2106;2617;0.8;0.84;1;1;1;0.84;2029;2029;5561.59;63.21;278.08;341.29;5902.88;7253.68;5902.88;;1210;1340;0.9;1452;1690;0.85;2370;2654;0.89;0.88;1;1;1;0.88;2029;2029;5849.76;29.25;0;29.25;5879.01;7253.68;5879.01;;1187;1462;0.81;1617;1809;0.89;2230;2692;0.82;0.84;1;1;0;0;2029;2029;0;0;0;0;0;7253.68;0;AprovaÃ§Ã£o da ComprovaÃ§Ã£o de Gastos pelo CMAS 2013
BA;290010;ABAÍRA;777;826;0.94;1024;1139;0.89;2089;2117;0.98;0.95;1;1;1;0.95;1524;1524;4721.69;0;236.08;236.08;4957.77;5448.3;4957.77;;774;830;0.93;931;1121;0.83;2019;2106;0.95;0.92;1;1;1;0.92;1524;1524;4557.26;0;227.86;227.86;4785.12;5448.3;4785.12;;834;914;0.91;1071;1118;0.95;1251;2065;0.6;0.77;1;1;1;0.77;1524;1251;3132.66;0;0;0;3132.66;5448.3;3132.66;;825;920;0.89;1155;1198;0.96;1551;2146;0.72;0.82;1;1;1;0.82;1524;1524;4094.15;0;0;0;4094.15;5448.3;4094.15;
BA;290020;ABARÉ;3480;3706;0.93;2678;3415;0.78;4577;4898;0.93;0.89;1;1;1;0.89;3249;3249;9483.26;0;474.16;474.16;9957.42;11615.18;9957.42;;3266;3695;0.88;2722;3094;0.87;3780;4583;0.82;0.85;1;1;1;0.85;3249;3249;9010.21;0;450.51;450.51;9460.72;11615.18;9460.72;;3231;3673;0.87;2629;3045;0.86;3776;4142;0.91;0.89;1;1;1;0.89;3249;3249;9414.63;0;0;0;9414.63;11615.18;9414.63;;2993;3640;0.82;2704;2999;0.90;3581;4308;0.83;0.84;1;0;0;0;3249;3249;0;0;0;0;0;11615.18;0;ComprovaÃ§Ã£o de Gastos pelo FMAS 2013
PR;410010;ABATIÁ;291;307;0.94;254;303;0.83;797;901;0.88;0.88;1;1;1;0.88;858;797;2302.47;0;115.12;115.12;2417.59;3067.35;2417.59;;338;352;0.96;290;341;0.85;750;1010;0.74;0.82;1;1;1;0.82;858;750;2008.5;0;100.43;100.43;2108.93;3067.35;2108.93;;473;497;0.95;303;404;0.75;875;1093;0.8;0.82;1;1;1;0.82;858;858;2302.46;0;0;0;2302.46;3067.35;2302.46;;535;575;0.93;487;541;0.90;827;1255;0.65;0.78;1;1;1;0.78;858;827;2115.8;0;105.79;105.79;2221.59;3067.35;2221.59;
SC;420005;ABDON BATISTA;129;134;0.96;118;122;0.96;212;234;0.9;0.93;1;1;1;0.93;339;212;644.56;0;32.23;32.23;676.79;1430;1430;;125;131;0.95;125;131;0.95;210;263;0.79;0.87;1;1;1;0.87;339;210;598.14;14.95;0;14.95;613.09;1430;1430;;159;164;0.96;136;151;0.9;214;300;0.71;0.82;1;1;1;0.82;339;214;573.23;14.33;0;14.33;587.56;1211.93;1430;;164;165;0.99;150;159;0.94;240;338;0.71;0.83;1;1;1;0.83;339;240;654.73;21.83;0;21.83;676.56;1211.93;1430;
